P-682	Der Endgegner	Menüs	11400	120	https://i.imgur.com/L7O4u63.png	Ja	Cola, Sprunk, The Prickly, Chicken Bucket
P-385	5x Wachmacher	Menüs	18500	30	https://i.imgur.com/fq81OE9.png	Ja	5x Kaffee, 5x Frühstücksburger
P-736	10x Wachmacher	Menüs	37000	30	https://i.imgur.com/fq81OE9.png	Ja	10x Kaffee, 10x Frühstücksburger
P-235	Event Beitrag	Sonstiges	10000	0	https://i.imgur.com/powxQYq.png	Ja
P-236	Event Beitrag	Sonstiges	15000	0	https://i.imgur.com/powxQYq.png	Ja
P-237	Event Beitrag	Sonstiges	25000	0	https://i.imgur.com/powxQYq.png	Ja
P-238	Event Beitrag	Sonstiges	50000	0	https://i.imgur.com/powxQYq.png	Ja
P-239	Event Beitrag	Sonstiges	100000	0	https://i.imgur.com/powxQYq.png	Ja
P-240	Event Beitrag	Sonstiges	150000	0	https://i.imgur.com/powxQYq.png	Ja
P-994	Apfelsaft	Getränke	1700	30		Ja
